更新时间,#genre#
2025-10-20 07:28:04,url
央视频道,#genre#:
CCTV-1 综合,http://114.104.183.6:8688/udp/238.1.78.166:7200
CCTV-2 财经,http://114.104.182.52:8688/udp/238.1.78.235:7752
CCTV-2 财经,http://114.104.183.57:8688/udp/238.1.78.235:7752
CCTV-2 财经,http://183.165.36.48:4022/udp/238.1.78.235:7752
CCTV-3 综艺,http://114.104.183.57:8688/udp/238.1.78.170:7232
CCTV-3 综艺,http://114.104.183.6:8688/udp/238.1.78.170:7232
CCTV-3 综艺,http://114.104.182.52:8688/udp/238.1.78.170:7232
CCTV-4 中文国际,http://114.104.183.57:8688/udp/238.1.78.236:7760
CCTV-5+体育赛事,http://114.104.183.57:8688/udp/238.1.78.237:7768
CCTV-7 国防军事,http://114.104.182.52:8688/udp/238.1.78.239:7784
CCTV-7 国防军事,http://114.104.183.6:8688/udp/238.1.78.239:7784
CCTV-8 电视剧,http://114.104.183.6:8688/udp/238.1.78.173:7256
CCTV-9 记录,http://183.165.36.48:4022/udp/238.1.78.240:7792
CCTV-10 科教,http://183.165.36.48:4022/udp/238.1.78.241:7800
CCTV-12 社会与法,http://114.104.183.6:8688/udp/238.1.78.242:7808
CCTV-12 社会与法,http://114.104.183.57:8688/udp/238.1.78.242:7808
CCTV-12 社会与法,http://114.104.183.6:8688/udp/238.1.78.242:7808
CCTV-13 新闻,http://114.104.183.57:8688/udp/238.1.79.35:4392
CCTV-13 新闻,http://183.165.36.48:4022/udp/238.1.79.35:4392
CCTV-13 新闻,http://114.104.182.52:8688/udp/238.1.79.35:4392
CCTV-14 少儿,http://114.104.183.57:8688/udp/238.1.78.243:7816
CCTV-14 少儿,http://183.165.36.48:4022/udp/238.1.78.243:7816
CCTV-15 音乐,http://183.165.36.48:4022/udp/238.1.78.222:7648
CCTV-17 农业农村,http://114.104.182.52:8688/udp/238.1.78.178:7296
CCTV世界地理,http://114.104.183.6:8688/udp/238.1.79.60:4616
CCTV兵器科技,http://183.165.36.48:4022/udp/238.1.79.56:4584
CCTV兵器科技,http://114.104.183.6:8688/udp/238.1.79.56:4584
CCTV央视台球,http://183.165.36.48:4022/udp/238.1.79.59:4608
CCTV央视文化精品,http://114.104.183.6:8688/udp/238.1.79.54:4568
CCTV怀旧剧场,http://114.104.183.6:8688/udp/238.1.79.61:4624
CCTV怀旧剧场,http://114.104.183.57:8688/udp/238.1.79.61:4624
CCTV怀旧剧场,http://114.104.182.52:8688/udp/238.1.79.61:4624
CCTV电视指南,http://114.104.183.57:8688/udp/238.1.79.53:4560
CCTV第一剧场,http://183.165.36.48:4022/udp/238.1.79.63:4640
CCTV风云剧场,http://114.104.183.57:8688/udp/238.1.79.62:4632
CCTV风云足球,http://114.104.183.57:8688/udp/238.1.79.57:4592
CCTV风云足球,http://114.104.182.52:8688/udp/238.1.79.57:4592
CCTV风云音乐,http://114.104.183.57:8688/udp/238.1.79.64:4648
CCTV风云音乐,http://183.165.36.48:4022/udp/238.1.79.64:4648

卫视频道,#genre#:
三沙卫视,http://114.104.183.6:8688/udp/238.1.78.27:6144
三沙卫视,http://114.104.183.57:8688/udp/238.1.78.27:6144
东南卫视,http://114.104.182.52:8688/udp/238.1.78.22:6104
东南卫视,http://114.104.183.6:8688/udp/238.1.78.22:6104
东方卫视,http://114.104.183.57:8688/udp/238.1.78.163:7176
东方卫视,http://114.104.183.6:8688/udp/238.1.78.163:7176
云南卫视,http://114.104.183.57:8688/udp/238.1.78.89:6584
云南卫视,http://114.104.182.52:8688/udp/238.1.78.89:6584
北京卫视,http://183.165.36.48:4022/udp/238.1.78.162:7168
北京卫视,http://114.104.183.57:8688/udp/238.1.78.162:7168
四川卫视,http://114.104.183.57:8688/udp/238.1.78.30:6168
四川卫视,http://183.165.36.48:4022/udp/238.1.78.30:6168
天津卫视,http://114.104.183.6:8688/udp/238.1.78.20:6088
宁夏卫视,http://114.104.183.57:8688/udp/238.1.78.109:6744
广东卫视,http://114.104.183.57:8688/udp/238.1.78.161:7160
广东卫视,http://183.165.36.48:4022/udp/238.1.78.161:7160
广西卫视,http://114.104.183.57:8688/udp/238.1.78.70:6432
广西卫视,http://114.104.182.52:8688/udp/238.1.78.70:6432
江西卫视,http://114.104.183.6:8688/udp/238.1.78.26:6136
